start,end,weight
4394,4179,1
8429,8782,1
8782,8984,1
15648,15936,5
13448,13199,1
13211,13022,1
3998,3891,1
13634,14014,3
15692,15575,4
17666,17608,1
13660,14267,1
10168,9752,1
10688,10687,7
16947,16676,4
12738,12345,1
16922,17416,9
7057,7055,9
6918,6736,1
14769,14767,3
6757,7264,3
13521,13314,2
3218,2943,1
15709,15444,4
13629,13628,4
15088,15390,1
28,21,1
14010,13628,6
8717,8921,4
9076,8596,1
6804,6802,1
12614,11997,2
5337,5334,5
2175,2176,1
7962,7417,1
7426,7425,1
14372,15092,2
13473,14250,1
5602,5318,1
12973,12725,3
14252,13870,1
7903,7697,1
6128,5986,1
17656,17427,1
8468,8175,1
9076,8868,1
5520,5346,1
5649,6194,1
9124,9123,4
17017,17159,2
11772,11953,3
15811,15643,3
5592,5199,1
10652,10649,1
8276,7600,1
16821,16924,2
12421,12244,1
12381,11602,1
9667,9450,2
14576,15073,6
8646,8442,2
11987,13019,1
4027,4163,1
2253,2058,1
15234,14696,1
14726,14350,1
10495,10084,1
7084,6765,13
7408,7084,5
20384,20734,1
10979,10807,3
9093,10219,2
9564,9125,1
6715,6383,2
8758,8085,1
7210,6712,1
11095,11092,1
5593,5781,1
8407,8094,1
14198,13964,1
2770,2613,1
11480,11482,2
7078,7398,5
16198,16088,30
16458,16360,1
9120,9122,1
14657,14278,1
10241,10249,1
20362,20268,2
7428,7429,1
11046,10848,2
16654,16656,2
6414,6146,2
14435,14045,1
11183,10730,2
21071,20940,4
12290,11658,1
16084,16570,2
6749,6544,3
9450,9449,6
10657,10476,1
11905,12932,1
10356,9774,2
18405,18050,1
15960,16336,1
13220,13630,1
2056,2184,2
8757,9104,7
16349,17355,1
16475,16124,1
20318,20230,1
12430,12041,3
10848,10169,4
12799,12799,2
8052,7712,1
8797,8198,1
11595,10807,1
12394,12393,5
10595,10353,1
11718,12521,1
11124,10937,2
10182,10006,2
12390,12786,4
16968,17663,1
5620,5059,1
9469,9467,7
7265,7079,3
15424,14986,2
3370,2817,1
8574,7913,1
11906,12301,2
7801,8536,1
16088,16198,16
19840,19622,1
6757,7073,1
11578,11377,4
4567,4526,5
10212,10214,2
6609,6732,1
17041,17149,3
16350,16349,1
21288,21287,7
14394,14392,2
8134,7653,2
8097,8624,3
17102,17441,4
6136,5712,1
9619,9409,1
13844,13200,1
9064,8571,1
5771,5585,2
8109,8782,1
7599,7741,3
11906,11290,1
14649,14437,1
13217,13215,4
7398,7398,11
1281,1280,1
12313,11913,4
7986,7775,1
17444,17586,3
10507,10267,1
1243,1071,1
8756,8277,1
8772,8629,4
556,527,1
13223,12783,2
13641,13230,1
11987,11558,4
3997,4432,4
12781,13216,14
3372,3371,1
13019,12772,1
1172,1095,3
11961,13592,2
6399,6400,1
11777,11336,1
18547,18173,1
10008,9616,1
14016,13636,2
16648,16549,11
14509,15239,2
9454,9104,12
11427,11173,2
3996,3890,1
17416,17643,1
13641,14250,3
2084,1681,1
10787,10599,1
16174,15930,5
9409,9065,1
16399,16271,1
13217,13231,1
15381,15643,7
15996,15446,1
5333,5333,7
3429,3373,2
13624,13738,2
9781,9425,6
16226,16602,1
15369,15513,1
12816,12425,1
10616,10197,2
11413,10705,1
13224,13225,5
8629,8772,7
16413,17321,2
13629,13216,5
19450,19264,1
8776,9121,4
7409,7088,8
16236,16474,4
9780,9784,1
8973,10667,1
15068,15071,1
14003,14000,5
17168,17073,2
7743,7277,1
11988,11565,2
5895,5487,1
9436,9221,3
20088,19930,1
11050,10593,8
11416,11158,1
12005,13226,1
5520,5060,5
7292,6782,3
7398,7077,8
15715,15450,3
16040,15885,1
14716,15063,1
4916,5307,2
13633,14245,1
10244,9817,4
5629,5349,2
15649,15386,4
4529,4240,2
11532,11336,1
13468,13224,3
4530,4380,6
15709,15705,9
7398,7072,1
16656,16655,4
14198,13589,2
16416,15935,1
8366,9274,1
8050,8237,1
4402,4496,1
16475,16240,3
19934,19742,1
9274,10019,1
7078,7265,5
10942,10682,1
10193,10432,1
13225,13638,2
5152,5307,2
4530,4240,8
14695,15049,1
15234,15049,1
14008,13628,2
9474,9135,1
11177,10730,1
9647,9789,1
5203,5035,5
17098,16844,2
3509,3372,1
9187,8888,1
16946,16682,1
3094,2815,2
5895,5306,1
5027,5486,1
11972,12185,1
8762,8615,1
16467,16466,3
7981,7771,1
9469,9466,3
9124,8774,5
13988,13607,6
5345,5059,1
18312,18025,1
16921,16655,2
9417,9415,1
11604,11152,2
12554,12335,2
17248,17009,2
8052,8051,5
10199,11516,1
3559,3058,1
9772,11069,1
4093,3798,1
19470,19469,3
16964,16701,2
17421,17182,6
7749,7418,3
10793,13629,1
10464,9806,2
11540,11096,1
10938,10677,5
13227,13036,2
8109,8296,4
16182,15946,1
10599,10419,4
12029,12029,6
7696,7507,1
13448,12765,4
9794,9654,4
9638,9436,1
7640,7312,1
15087,14590,1
17116,16701,1
15420,15128,1
4873,4481,1
13230,12793,7
11488,11487,7
5316,4864,1
7085,6771,1
13145,12483,1
3822,3967,1
4217,4140,1
12631,12226,1
14956,14371,1
8557,8352,1
10083,10253,2
20937,20814,2
8773,8778,1
16965,16701,1
13216,12782,8
13128,13129,4
14391,15111,2
973,1131,3
8637,8781,4
15530,15647,2
6396,8363,1
8388,8257,1
17205,17444,1
3743,3499,8
4790,4586,25
3095,2813,2
13990,13837,1
6491,6368,1
9031,8837,2
16354,16450,4
13223,12788,5
9064,8717,1
8268,8395,4
9047,11735,1
4790,4587,1
7402,7084,9
13893,14085,1
7406,7087,6
12698,12309,2
14943,14354,6
15529,15381,2
15411,15555,1
6622,6414,2
3349,3259,1
10026,9774,3
6449,6450,2
15051,14507,1
12784,12617,1
8033,8553,1
11079,10208,1
17784,17677,1
15887,17384,1
14729,14352,1
6765,6430,1
7920,7373,1
17956,18140,19
11571,11574,2
9824,9689,1
11186,10732,1
11077,10628,3
2835,2792,2
9418,9068,2
12960,13146,1
15088,14745,1
12779,13215,3
9428,9285,3
20898,20899,2
8079,7734,7
12803,13238,2
19744,19655,1
5345,5060,4
13633,13477,1
8784,8983,1
14781,15130,4
15371,15371,2
15643,15811,1
13216,12381,2
6229,5844,1
13847,13619,1
5283,5570,1
6946,6759,1
15110,15411,1
10255,9474,2
10670,10492,1
7430,7762,3
13576,13161,1
5054,4659,1
14356,14943,5
8917,8571,1
6976,6784,1
8917,8714,1
14278,14048,1
16947,16687,1
10679,10937,4
5752,5457,2
15665,15545,1
19900,19703,2
13630,13633,4
18627,19024,1
10667,10247,1
10212,10445,3
20282,19915,1
5051,4749,5
9103,8961,1
11290,11909,2
9820,10073,1
5197,5307,1
13234,13238,2
12626,12020,2
10872,10610,3
13140,12888,1
11522,10630,1
11079,10627,3
15007,15139,1
13047,12799,3
6179,6786,3
8052,8239,1
14729,14356,14
11851,11611,1
15994,15872,2
15804,15524,1
7393,7261,4
4432,4432,3
9847,10105,1
12379,13627,1
6043,5895,5
6143,5895,4
9221,9432,4
11153,11602,3
15861,15425,3
9413,9062,2
5027,5596,4
13609,13987,1
6767,6956,1
17192,17190,5
14000,14387,2
17677,17784,1
6038,5714,2
13634,13219,2
1710,1546,1
5771,6725,2
5306,5194,1
6775,6657,1
13216,14010,4
11046,10595,4
15114,15682,3
10639,10636,12
15414,15108,1
5342,5683,1
4650,4467,1
9418,9270,2
4545,4416,1
13862,14011,1
9419,8920,2
17219,16971,2
7986,7639,1
7178,7720,3
14939,14728,4
18388,18386,2
13633,13033,1
16685,16454,1
9619,9410,3
20668,21213,1
4526,4458,1
19099,19522,1
12043,12429,4
6146,6047,8
3396,3433,1
14233,13629,1
13217,13030,1
13995,13991,1
9437,10212,1
17786,17854,3
3396,3604,1
7583,7390,4
15993,15995,3
15087,15267,3
15996,16474,5
9799,10046,3
3512,3837,1
7986,7447,1
12772,12614,1
7405,7596,3
13634,13465,1
9806,9449,5
7945,7736,8
3221,3045,3
12559,12337,4
10199,9773,1
8051,8049,2
7418,7417,5
13998,13618,1
10935,10254,12
5739,5665,1
6414,6306,1
1815,1422,1
10007,10183,2
14202,13814,1
9802,9300,2
13459,12777,1
11137,11140,2
3433,3604,1
10309,10996,1
8608,8081,1
7524,7474,1
1529,1454,2
13465,13219,4
4530,4241,4
12951,12707,2
8920,9065,2
3433,3514,1
10252,9823,1
9076,8373,4
16611,16472,3
13224,12621,2
10071,10073,1
10673,10258,1
20582,20919,1
13217,13630,1
15460,14801,1
10237,10068,1
13216,12615,2
7941,7734,4
8770,8284,1
13987,13987,2
11098,10906,9
13651,13485,1
7748,7415,10
8398,8396,6
13987,14747,1
14939,15379,2
13630,14240,1
8397,8395,2
10008,10006,2
7765,7105,2
10187,10424,1
9411,9415,1
9416,9270,2
14716,15367,3
973,1095,3
12700,12941,13
17192,16942,1
12700,13130,5
8608,8398,1
13206,13450,1
6163,6062,1
5585,5190,3
972,1131,1
17168,16913,1
10662,10245,3
7596,7739,1
1126,1035,2
14418,13877,1
5369,5685,2
17564,17416,2
12651,12043,1
7277,7085,1
15097,14745,4
10673,10250,5
18925,18973,1
8367,8920,1
12823,13668,2
12777,13628,1
20922,20921,1
12781,12621,1
9124,9140,1
6149,6304,1
15525,15087,1
20161,19918,1
3096,3371,2
16949,16946,1
7073,6757,4
5896,5595,3
16655,16661,2
18724,18789,1
7085,6765,8
6754,6642,1
10023,9772,6
7082,7402,16
10459,10223,4
7105,6786,3
6222,5892,1
16851,16687,1
14776,14778,1
8120,7986,2
9079,8937,1
10254,10252,1
11984,11983,5
8715,8570,2
7415,7417,6
7950,7742,5
9847,10272,5
17854,17855,1
10605,10008,2
13221,13225,1
10005,9616,1
17786,17785,2
6161,5993,3
18362,18362,1
13955,13577,2
5306,4731,1
15369,14717,2
12776,12201,1
18644,18410,1
13548,13127,3
15390,15088,2
3514,3286,1
9274,9069,1
5027,5784,1
13991,14376,1
12543,12330,1
10659,14003,1
12056,11869,2
10934,11570,2
12488,12341,2
10941,12392,1
3044,2939,2
9411,9269,2
15285,14758,1
10235,11106,1
20982,20762,2
4495,4775,3
13734,13227,1
13892,13668,4
5650,5951,5
15393,15266,1
12816,12032,1
13633,13473,1
6771,6868,2
15639,15259,1
7741,7599,4
10212,9792,1
4914,4732,2
12769,13451,1
10356,9773,2
13215,12777,3
12779,13216,2
7943,7736,2
15420,15117,2
14633,14028,1
13186,13597,3
7073,7730,4
13637,14992,3
2445,3045,1
1753,1446,2
7621,7971,1
2583,2319,1
9789,9432,1
10631,10212,3
7608,7283,2
1582,1546,1
13216,12786,1
18158,18043,1
9449,9445,1
13637,13232,2
12043,13254,1
22532,22592,1
10732,10551,1
4915,5307,1
8413,8291,1
18473,18139,2
8111,7977,1
10184,10423,2
8758,8404,5
10168,10168,1
7948,7401,1
10212,10213,2
9416,9415,1
8082,8399,1
12778,12607,3
2986,2816,1
8715,8715,3
7416,6775,1
7749,8091,4
16421,16183,10
15536,15090,3
9065,9415,1
9847,9702,2
6826,6616,3
12585,13002,1
1252,1347,1
5782,5596,3
11361,10921,1
15394,15392,3
7448,7120,5
889,1082,1
14588,14366,3
15796,15510,1
15194,14910,1
7040,7040,8
11360,11984,1
14745,15093,3
20323,21142,1
5783,5895,1
8396,8395,4
15094,15274,6
15689,15306,2
7402,7270,15
14507,14478,1
12799,12403,12
14363,15940,1
18151,18150,4
7750,7418,1
9003,8652,1
8106,7430,1
8121,7832,1
9417,9270,2
2818,3096,3
5488,5199,1
9087,8736,2
13652,13485,3
1695,2052,1
15122,14771,5
13630,13469,1
17433,17190,3
5888,6139,9
7951,7409,1
10356,10199,1
20733,20498,1
5487,5486,1
14377,14394,1
18382,17971,1
12012,12030,1
7864,7447,1
9144,8652,1
9785,10204,1
3091,3273,1
7765,7432,2
7639,7307,2
8105,7859,1
13239,13653,1
4762,4761,5
6771,7955,1
13464,13220,2
8712,9065,1
9786,10205,4
13630,13217,1
18805,18397,1
16669,16937,1
13230,12620,2
9410,9268,4
4732,5151,1
20570,20730,3
4733,5307,2
9623,9415,2
7948,8399,1
13149,13391,1
9282,9781,7
9847,9576,1
7278,7088,1
15005,15442,1
3818,3739,1
5027,5785,3
8579,8047,1
7742,7738,6
10355,10610,1
12414,12411,3
15591,15442,1
12748,12361,2
7406,7738,2
16591,16353,3
16212,16450,4
8117,7776,2
10201,10024,11
12793,12219,2
10356,10024,1
8917,9268,2
12422,11844,1
11581,11578,2
9781,11764,1
9065,9268,2
19478,19925,3
7076,6757,11
9064,9268,1
6757,6946,1
8107,8105,3
11349,10906,3
7975,7762,1
18310,17988,1
9412,9268,5
10667,10663,3
12235,12030,1
17612,17240,1
7088,7087,21
9407,9267,1
1467,1320,1
5307,4731,1
7052,7051,26
4720,4433,1
9417,9269,1
9412,9270,1
7402,7271,3
7599,7739,3
5221,5049,3
8366,7913,1
4914,4733,2
7040,6910,1
13216,12777,6
9068,9195,2
14780,14406,2
6757,7589,1
5334,4935,2
9412,9267,5
11258,11637,1
7270,7402,8
7597,7738,1
10251,10249,2
12008,11133,1
7084,7403,70
4634,5307,1
12779,12378,1
1909,1479,1
7860,7769,1
1669,1388,1
14252,15131,1
11916,11482,3
7599,7087,1
16214,17206,1
6910,7176,1
7739,7405,8
6946,7589,1
15442,15438,1
9625,9416,1
6946,7588,1
13017,12766,1
10640,11966,2
1912,1988,7
12037,11856,1
11152,10967,1
8079,7401,1
9064,8565,1
12214,12615,4
5028,5486,1
5198,5026,2
5926,5350,1
4727,4525,1
7407,7087,7
1449,1527,1
10937,10503,2
8772,8972,6
13464,13629,3
7430,7972,1
13029,12784,1
3967,3584,1
10616,10196,2
5198,5025,1
6765,7403,61
9224,9138,3
1753,1449,1
10652,10062,1
12432,15476,1
11133,10691,1
13619,14386,1
12973,12721,2
12381,12777,2
7405,7738,8
9773,9772,8
13310,13717,1
3993,3921,4
8427,8109,6
14003,13623,8
22008,21719,1
14768,14618,1
7274,6957,1
12874,12290,1
15267,15089,3
7599,7081,1
3097,2819,2
6383,6591,2
13955,13957,1
17143,17240,1
7736,7403,4
7407,7084,2
8374,8373,3
3017,2860,1
16625,16623,1
20387,20387,14
13204,13201,1
12680,13527,9
6885,7140,2
9140,8991,2
7737,7402,49
13616,13203,1
8035,7697,7
15930,15932,2
6145,6047,3
13595,13188,1
12915,13521,2
4342,3998,1
7429,8104,1
9406,9416,1
21522,21522,1
6307,6047,3
7277,7087,10
21522,21287,1
21,17,2
6139,6136,8
5950,5650,5
13216,13029,1
13216,12780,3
9359,9170,1
2888,2582,1
23212,23189,1
5294,7362,1
10287,11615,3
15446,15590,1
4759,4759,5
8547,8019,6
13224,12788,4
7398,7396,3
12867,12849,2
8084,7954,7
15444,15139,2
21446,21215,1
21885,22922,1
11913,11912,9
16172,15935,2
5721,5621,1
15810,15929,1
17501,17145,2
15642,15642,1
6306,5898,1
13630,12776,1
16411,16910,7
15842,15676,3
14743,14596,2
5606,6752,2
4732,5307,1
20155,19917,23
11581,13229,1
17383,17469,1
13216,12783,1
4485,4043,1
10200,10201,1
10185,11056,2
14719,14345,31
7088,6957,4
13362,12936,6
5895,5596,3
7179,7256,1
3603,4106,14
18338,18337,1
8565,8358,1
13549,14854,1
14760,14609,10
12778,12378,4
5783,5596,1
9087,8954,3
8499,10548,1
17988,18175,1
6444,6074,1
4028,3953,3
841,903,2
6765,6764,6
14910,15235,5
7104,7105,3
5912,6059,12
6732,6400,1
5912,5910,8
6151,5898,1
14006,14008,2
12048,11614,4
11741,11500,13
17217,17217,5
10872,10611,2
16469,16375,6
20721,20719,1
13520,13521,1
6476,6093,1
11937,12331,3
2167,2167,1
1077,1343,1
9561,9416,3
8123,7779,1
23143,23099,2
12400,12110,1
3474,3568,2
9407,9268,1
13463,12781,5
9513,11429,1
903,941,1
16234,16119,1
9407,9062,1
7389,7580,2
9429,10205,1
6146,5897,1
19862,19735,12
13321,12707,2
6768,6957,3
10170,11485,3
9429,10204,2
11984,11559,4
4731,4369,1
12554,11937,1
22307,22094,1
4574,4748,4
3538,3305,2
8085,8086,1
4028,3903,4
12019,11855,1
7085,7087,7
5899,5898,2
12607,12378,8
16219,16107,2
6174,6449,2
4923,4740,1
9477,9479,2
11842,11600,1
16145,16252,1
12498,12835,6
2559,2356,4
15559,15555,1
18179,17991,1
9060,8709,1
7084,6431,3
19645,20387,1
5181,5140,1
16217,15976,4
3603,4586,2
3094,2733,1
14363,14734,4
5504,5612,9
12371,11559,2
7394,7729,4
7619,7430,1
3888,3547,1
7785,7313,1
5802,7403,2
8314,7993,2
5198,5595,1
4238,4019,1
12324,12326,3
13120,12936,37
12065,11635,4
15406,15127,1
14348,14346,13
7779,7445,2
6409,6149,1
957,1029,1
13108,13106,1
20734,20582,5
18013,18328,1
7740,7403,6
13001,12748,2
9428,9077,4
19933,19863,1
17324,17068,2
4733,4449,3
15932,15640,4
9503,11614,2
9064,9062,2
14407,14403,8
2508,2242,1
22949,22939,1
16143,15783,1
16062,15640,1
5044,7402,1
4751,4749,3
13287,13521,5
10166,9928,1
7430,8105,1
3934,4728,1
13996,14003,1
19432,19578,1
9125,11815,1
7630,8521,1
7763,8106,2
15697,15984,2
12932,12691,3
6184,6260,1
11586,11584,1
5844,6474,1
8127,7993,14
5615,5502,41
13577,13578,10
7406,7403,33
20114,20117,2
3356,3087,1
6171,5627,1
13116,12699,1
10164,14854,1
5614,7403,4
22179,21971,1
12817,12650,1
6787,6869,6
13977,14127,1
8035,8035,8
4004,3934,2
11973,11974,6
12786,13223,6
5915,5914,3
5912,7403,16
10225,10646,1
14025,13651,2
13121,12936,52
18312,18177,1
17839,18398,1
10134,9517,1
13539,12936,8
13216,12781,10
13364,12936,2
13727,13159,3
6162,7403,2
13367,12930,1
13117,13363,8
22064,22063,1
17757,17424,1
7698,8035,3
5911,7402,1
16143,15891,1
11506,11228,1
4018,3808,1
7038,6726,8
7406,7402,3
7742,7596,12
8107,7762,1
12587,12361,2
6144,6047,5
13977,13431,1
6763,7402,3
13221,13032,1
10652,10907,2
